idx,avgs
:50,0.7190470673066691
:100,1.7061476423276967
:150,1.5922608942722491
:200,1.317393172678498
:250,1.6606965182069058
:300,1.293380634388623
:350,1.438317728532158
:400,1.5717886306668434
:450,1.8320946422381823
:500,1.5570312248137383
:550,1.6279507548876375
:600,1.568035273486785
:650,1.5751805615466756
:700,1.324746044558407
:750,1.656970401826179
:800,1.3862063118627574
:850,1.3367722156801296
:900,1.797620975873076
:950,1.4497804489871364
:1000,1.5393249996262686
:1050,0.4639016276440865
:1100,0.0
:1150,0.0
:1200,0.0
:1250,0.0
:1300,0.0
:1350,0.0
